,album,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,release_year
7,Sixteen Oceans,8,hi hello,0.742,0.798,0.209,0.873,0.104,-17.508,0.0476,122.021,0.224,46,6,0,2020
8,Sixteen Oceans,9,istm,0.848,0.525,0.262,0.00934,0.326,-31.547,0.272,73.564,0.0442,46,9,0,2020
10,Sixteen Oceans,11,1993 band practice,0.969,0.524,0.0489,0.832,0.0721,-24.389,0.0468,82.374,0.149,46,7,1,2020
14,Sixteen Oceans,15,this is for you,0.968,0.37,0.0416,0.298,0.0712,-30.292,0.0592,86.586,0.0939,46,9,1,2020
15,Sixteen Oceans,16,mama teaches sanskrit,0.979,0.325,0.0343,0.941,0.0818,-23.749,0.0442,128.177,0.0684,47,2,1,2020
11,Sixteen Oceans,12,green,0.96,0.533,0.364,0.873,0.163,-16.2,0.0381,127.944,0.177,47,10,1,2020
9,Sixteen Oceans,10,something in the sadness,0.799,0.648,0.765,0.914,0.446,-11.151,0.0486,129.02,0.901,48,10,0,2020
13,Sixteen Oceans,14,4t recordings,0.493,0.346,0.397,0.781,0.0673,-13.182,0.0383,104.921,0.0275,48,9,1,2020
18,New Energy,3,la trance,0.94,0.685,0.342,0.891,0.0942,-12.478,0.0358,129.983,0.344,50,1,1,2017
33,Beautiful Rewind,2,parallel jalebi,0.692,0.653,0.7,0.859,0.102,-15.138,0.038,132.944,0.51,50,11,0,2013
2,Sixteen Oceans,3,harpsichord,0.958,0.305,0.126,0.661,0.0784,-16.726,0.0348,140.041,0.0364,51,0,1,2020
6,Sixteen Oceans,7,insect near piha beach,0.0428,0.733,0.841,0.885,0.0875,-10.309,0.0993,131.003,0.121,52,9,1,2020
5,Sixteen Oceans,6,love salad,0.475,0.609,0.502,0.899,0.0968,-10.282,0.0391,129.005,0.0742,53,5,0,2020
4,Sixteen Oceans,5,romantics,0.496,0.692,0.411,0.881,0.0923,-7.766,0.0376,134.04,0.159,53,0,1,2020
43,Pink,1,locked,0.00237,0.783,0.745,0.17,0.102,-11.5,0.0839,133.193,0.888,55,4,0,2012
3,Sixteen Oceans,4,teenage birdsong,0.475,0.633,0.866,0.723,0.0955,-7.166,0.0558,195.986,0.0625,57,7,1,2020
0,Sixteen Oceans,1,school,0.00417,0.645,0.741,0.576,0.0372,-8.488,0.0507,129.302,0.765,57,5,0,2020
1,Sixteen Oceans,2,baby,0.487,0.792,0.576,0.00325,0.0972,-9.947,0.248,127.066,0.053,58,0,1,2020
27,New Energy,12,daughter,0.765,0.621,0.3,0.00598,0.11,-9.135,0.056,81.098,0.369,59,1,1,2017
20,New Energy,5,lush,0.83,0.659,0.667,0.896,0.118,-10.463,0.0326,132.907,0.637,60,1,0,2017
17,New Energy,2,two thousand and seventeen,0.327,0.551,0.469,0.161,0.0939,-8.393,0.0296,75.495,0.498,64,2,1,2017
